language,mean_pull_requests_total,mean_releases_total,mean_days_since_last_update
<unknown>,1331.2,2.736842105263158,256.93015245859766
Assembly,196.0,0.0,367.9024210380324
Batchfile,5.0,29.0,18.982230065810185
Blade,1670.0,211.0,14.389394417662038
C,1465.28,70.04,109.25524951025463
C#,4663.909090909091,131.45454545454547,50.90392408937921
C++,7919.086956521739,163.93478260869566,73.60825235848328
CSS,508.75,20.375,333.50022485747684
Clojure,12060.5,245.75,7.933124163032407
Dart,8703.0,50.5,14.399622041118826
Dockerfile,460.3333333333333,1.6666666666666667,307.7386498188966
Elixir,897.0,12.0,18.58729951025463
Go,6053.805194805195,180.97402597402598,56.69570334022096
HTML,686.1666666666666,22.27777777777778,92.99114081683898
Haskell,1045.5,91.5,11.374110852847222
Java,3983.468085106383,71.19148936170212,130.40137112175975
JavaScript,2143.6260869565217,110.34782608695652,159.5271918210437
Julia,26877.0,195.0,7.511616639884259
Jupyter Notebook,210.56521739130434,0.043478260869565216,140.04517944181663
Kotlin,927.6,97.7,69.6706548343287
LLVM,75312.0,149.0,7.450794880625
Lua,3383.0,72.5,11.194562241736111
MDX,2056.4,18.8,35.88922312136574
Makefile,378.6666666666667,0.3333333333333333,464.9487269793904
Markdown,4061.0,10.4,14.295030991736112
Nunjucks,929.0,0.0,10.417010158402778
Objective-C,710.0,40.0,1150.1882138621065
PHP,11857.42857142857,490.14285714285717,152.64140995999009
PowerShell,561.0,28.5,14.592403676921297
Python,4059.375,92.815,129.11587578340277
Roff,1.0,0.0,145.43174395469907
Ruby,9783.166666666666,138.41666666666666,127.6698535226003
Rust,5463.388888888889,145.12962962962962,20.28528262067987
Scala,5.5,0.0,96.39889094543982
Shell,913.5238095238095,66.9047619047619,134.0336250173093
Svelte,386.5,92.0,29.60452173247685
Swift,682.8571428571429,93.71428571428571,107.64087920602182
TeX,19.0,3.5,1909.8218886306252
TypeScript,5023.4625,256.1,42.35355059532407
V,13073.0,302.0,7.473341176921297
Vim Script,4614.0,14.0,140.1578724269213
Vue,893.5714285714286,48.57142857142857,295.43491525099535
Zig,6773.0,77.33333333333333,40.403919880625004
